prodcodeid,term,condition
1.09438E+16,Sacubitril 97mg / Valsartan 103mg tablets (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.00614E+15,Sevikar 20mg/5mg tablets (Daiichi Sankyo UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.00634E+15,Sevikar 40mg/10mg tablets (Daiichi Sankyo UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
5.00624E+15,Sevikar 40mg/5mg tablets (Daiichi Sankyo UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
6.18064E+15,Sevikar HCT 20mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
6.18084E+15,Sevikar HCT 40mg/10mg/12.5mg tablets (Daiichi Sankyo UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
6.18104E+15,Sevikar HCT 40mg/10mg/25mg tablets (Daiichi Sankyo UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
6.18074E+15,Sevikar HCT 40mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
6.18094E+15,Sevikar HCT 40mg/5mg/25mg tablets (Daiichi Sankyo UK Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
4.54874E+15,Telmisartan 80mg / Hydrochlorothiazide 25mg tablets (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
2.04084E+15,Teveten 300mg tablets (Solvay Healthcare Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
2.04094E+15,Teveten 400mg tablets (Solvay Healthcare Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
2.04104E+15,Teveten 600mg tablets (Solvay Healthcare Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
9.29264E+15,Tolucombi 40mg/12.5mg tablets (Consilient Health Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
9.29274E+15,Tolucombi 80mg/12.5mg tablets (Consilient Health Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
9.29284E+15,Tolucombi 80mg/25mg tablets (Consilient Health Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
9.20934E+15,Tolura 20mg tablets (Consilient Health Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
9.20944E+15,Tolura 40mg tablets (Consilient Health Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
9.20954E+15,Tolura 80mg tablets (Consilient Health Ltd) (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
6.52844E+15,Valsartan 3mg/1ml oral solution (product),Q code group 2.5.5.2     Angiotensin-II Receptor Antagonists
