prodcodeid,term,condition
5.44641E+14,Esmolol 2.5g/10ml solution for infusion ampoules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.65554E+15,Esmolol 2.5g/250ml infusion bags (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.56941E+14,Eucardic 12.5mg tablets (Roche Products Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.57041E+14,Eucardic 25mg tablets (Roche Products Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.60894E+15,Eucardic 3.125mg tablets (Roche Products Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.60904E+15,Eucardic 6.25mg tablets (Roche Products Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
6.60741E+14,Half Beta-Prograne 80mg modified-release capsules (Tillomed Laboratories) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
6.58241E+14,Half Inderal LA 80mg capsules (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.05264E+15,Hypoloc 5mg tablets (A Menarini Pharma UK S.R.L.) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
7.68741E+14,Inderal 10mg tablets (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
7.59641E+14,Inderal 1mg/1ml solution for injection ampoules (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
7.68841E+14,Inderal 40mg tablets (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
7.68941E+14,Inderal 80mg tablets (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
7.56541E+14,Inderal LA 160mg capsules (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
7.56641E+14,Inderetic 80mg/2.5mg capsules (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
7.56741E+14,Inderex 160mg/5mg modified-release capsules (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
7.93741E+14,Kalten capsules (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
8.03641E+14,Kerlone 20mg tablets (Sanofi-Synthelabo Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
8.11341E+14,Labetalol 100mg/20ml solution for injection ampoules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.3132E+16,Labetalol 50mg/10ml solution for injection ampoules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
6.48794E+15,Labetalol 50mg/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
8.50841E+14,Lopresor 100mg tablets (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
8.50941E+14,Lopresor 50mg tablets (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
8.51041E+14,Lopresor SR 200mg tablets (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.61604E+15,Metoprolol 12.5mg/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
4.81564E+15,Metoprolol 12.5mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
8.91641E+14,Metoprolol 200mg modified-release tablets (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.57554E+15,Metoprolol 25mg/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.97284E+15,Metoprolol 50mg/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.97294E+15,Metoprolol 50mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
8.87141E+14,Metoprolol 5mg/5ml solution for injection ampoules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
9.35341E+14,Moducren tablets (Merck Sharp & Dohme Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
9.39241E+14,Monocor 10mg tablets (Wyeth Laboratories) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
9.39141E+14,Monocor 5mg tablets (Wyeth Laboratories) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
9.37341E+14,Monozide 10 tablets (Wyeth Laboratories) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.81414E+15,Nadolol 20mg/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.065E+16,Nadolol 20mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
7.87134E+15,Nadolol 30mg/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.06501E+16,Nadolol 30mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.37824E+15,Nadolol 40mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.79614E+15,Nebilet 5mg tablets (A Menarini Pharmaceuticals UK Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.35775E+16,Nebivolol 1.25mg tablets (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
8.96114E+15,Nebivolol 10mg tablets (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.56534E+15,Nebivolol 2.5mg tablets (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.79604E+15,Nebivolol 5mg tablets (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.02604E+15,Oxprenolol 160mg modified-release tablets (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.13274E+15,Prestim tablets (Valeant Pharm) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.12534E+15,Propranolol 10mg/5ml oral solution sugar free (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.12404E+15,Propranolol 160mg modified-release capsules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.11964E+15,Propranolol 1mg/1ml solution for injection ampoules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.75024E+15,Propranolol 40mg/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
4.95584E+15,Propranolol 40mg/5ml oral solution sugar free (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.99814E+15,Propranolol 40mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.12554E+15,Propranolol 50mg/5ml oral solution sugar free (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.12544E+15,Propranolol 5mg/5ml oral solution sugar free (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.13004E+15,Propranolol 80mg modified-release capsules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
4.95714E+15,Propranolol 80mg/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.83984E+15,Rapranol SR 160mg capsules (Ranbaxy (UK) Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.83994E+15,Rapranol SR 80mg capsules (Ranbaxy (UK) Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.27464E+15,Secadrex 200mg/12.5mg tablets (NRIM Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.26814E+15,Sectral 100mg capsules (NRIM Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.26824E+15,Sectral 200mg capsules (NRIM Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.27824E+15,Sectral 400mg tablets (NRIM Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.92914E+15,Slo-Pro 160mg capsules (Generics (UK) Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.34744E+15,Slow-Trasicor 160mg tablets (Amdipharm) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.80204E+15,Soloc 10mg tablets (Goldshield Healthcare Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.80194E+15,Soloc 5mg tablets (Goldshield Healthcare Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.36604E+15,Sotacor 160mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.35854E+15,Sotacor 40mg/4ml solution for injection ampoules (Bristol-Myers Squibb Pharmaceuticals Limited) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.36614E+15,Sotacor 80mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
3.95344E+15,Sotalol 25mg/5ml oral solution (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
9.77644E+15,Sotalol 25mg/5ml oral suspension (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.90854E+15,Sotalol 40mg/4ml solution for injection ampoules (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.26754E+15,Syprol 10mg/5ml oral solution (Rosemont Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
4.95594E+15,Syprol 40mg/5ml oral solution (Rosemont Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.26764E+15,Syprol 50mg/5ml oral solution (Rosemont Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.26744E+15,Syprol 5mg/5ml oral solution (Rosemont Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.41424E+15,Tenben 25mg/1.25mg capsules (Galen Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.42554E+15,Tenchlor 100mg/25mg tablets (Teva UK Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.42544E+15,Tenchlor 50mg/12.5mg tablets (Teva UK Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.41494E+15,Tenif modified-release capsules (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.42624E+15,Tenoret 50 tablets (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.42634E+15,Tenoretic 100mg/25mg tablets (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.42644E+15,Tenormin 100mg tablets (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.42874E+15,Tenormin 25 tablets (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.42454E+15,Tenormin 25mg/5ml syrup (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.42074E+15,Tenormin 5mg/10ml solution for injection ampoules (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.42654E+15,Tenormin LS 50mg tablets (AstraZeneca) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
5.37644E+15,Timolol 10mg / Amiloride 2.5mg / Hydrochlorothiazide 25mg tablets (Essential Generics Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.46904E+15,Trandate 100mg tablets (Celltech Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.46144E+15,Trandate 100mg/20ml solution for injection ampoules (Celltech Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.46914E+15,Trandate 200mg tablets (Celltech Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.46924E+15,Trandate 400mg tablets (Celltech Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.46934E+15,Trandate 50mg tablets (Celltech Pharmaceuticals Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.46964E+15,Trasicor 20mg tablets (Amdipharm) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.46974E+15,Trasicor 40mg tablets (Amdipharm) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.46984E+15,Trasicor 80mg tablets (Amdipharm) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.46994E+15,Trasidrex modified-release tablets (Novartis Pharmaceuticals UK Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.52394E+15,Viskaldix tablets (Amdipharm) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.52514E+15,Visken 15mg tablets (Amdipharm) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
1.52404E+15,Visken 5mg tablets (Amdipharm) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.86614E+15,Vivacor 10mg tablets (Lexon UK Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
2.86604E+15,Vivacor 5mg tablets (Lexon UK Ltd) (product),Q code group 2.4         Beta-Adrenoceptor Blocking Drugs
