medcodeid,term,condition
1222398015,Occlusion of cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.22361E+14,Cerebrovascular accident due to occlusion of cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.22401E+14,Cerebrovascular accident (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1227364015,History of coronary artery bypass grafting (situation),Q code group Coronary Heart Disease (original)
1227591017,History of cerebrovascular accident (situation),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.22763E+16,Progressive angina (disorder),Q code group Coronary Heart Disease (original)
1229885017,Microinfarct of heart (disorder),Q code group Coronary Heart Disease (original)
1234005010,Acute myocardial infarction of inferoposterior wall (disorder),Q code group Coronary Heart Disease (original)
1234306015,Acute myocardial infarction of septum (disorder),Q code group Coronary Heart Disease (original)
1235225010,Prinzmetal angina (disorder),Q code group Coronary Heart Disease (original)
1235655012,Mural thrombus of heart (disorder),Q code group Coronary Heart Disease (original)
1.23591E+16,Mitral valve regurgitation due to and following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.2369E+16,Ventricular aneurysm due to and following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.2369E+16,Pulmonary embolism due to and following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.2369E+16,Arrhythmia due to and following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.24834E+16,Certain current complications following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.24845E+16,Coronary arteriography abnormal (finding),Q code group Coronary Heart Disease (original)
125470015,Cerebral embolism (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.26807E+16,History of coronary artery bypass grafting (situation),Q code group Coronary Heart Disease (original)
1.2727E+16,Other acute and subacute ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
1.27274E+16,Cerebral infarction NOS (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.27277E+16,Stroke and cerebrovascular accident unspecified (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.27303E+16,Other chronic ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
1.27332E+16,Transient cerebral ischemia NOS (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
130375018,Posterior inferior cerebellar artery syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
144819018,Prinzmetal angina (disorder),Q code group Coronary Heart Disease (original)
145925010,Amaurosis fugax (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1488382011,Acute coronary syndrome (disorder),Q code group Coronary Heart Disease (original)
1.55099E+15,Coronary artery bypass graft operation planned (situation),Q code group Coronary Heart Disease (original)
158118014,Cerebellar infarction (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.58601E+14,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.58611E+14,Rupture of chordae tendinae due to and following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.59001E+14,Rupture of papillary muscle as current complication following acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1.65489E+15,Coronary angioplasty planned (situation),Q code group Coronary Heart Disease (original)
1.66774E+15,Personal history of transient ischaemic attack (situation),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
1.73817E+15,History of myocardial infarction (situation),Q code group Coronary Heart Disease (original)
1.77114E+15,Coronary microvascular disease (disorder),Q code group Coronary Heart Disease (original)
1780491019,Acute ST segment elevation myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1780501013,Acute non-ST segment elevation myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
1786197015,Coronary artery thrombosis (disorder),Q code group Coronary Heart Disease (original)
1786198013,Coronary artery thrombosis (disorder),Q code group Coronary Heart Disease (original)
208365015,Postoperative myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.11518E+15,Coronary microvascular disease (disorder),Q code group Coronary Heart Disease (original)
2.11773E+15,Angina self-management plan agreed (finding),Q code group Coronary Heart Disease (original)
2.12061E+14,Postoperative transmural myocardial infarction of anterior wall (disorder),Q code group Coronary Heart Disease (original)
2.12071E+14,Postoperative transmural myocardial infarction of inferior wall (disorder),Q code group Coronary Heart Disease (original)
2.12081E+14,Postoperative myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.12091E+14,Postoperative myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2160096015,Coronary artery bypass graft occlusion (disorder),Q code group Coronary Heart Disease (original)
2.16351E+14,Post-infarction pericarditis (disorder),Q code group Coronary Heart Disease (original)
2.17108E+15,History of amaurosis fugax (situation),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.17328E+15,History of acute coronary syndrome (situation),Q code group Coronary Heart Disease (original)
2.18511E+14,Cerebral infarction (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.19521E+14,Myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.19531E+14,Acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.30021E+14,History of myocardial infarction (situation),Q code group Coronary Heart Disease (original)
2.43673E+15,Old cerebral infarction on imaging (finding),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2474651019,Infarction of basal ganglia (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2476091017,History of cerebrovascular accident (situation),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2476647018,Vertebral artery syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.503E+15,Acute myocardial infarction of basal-lateral wall (disorder),Q code group Coronary Heart Disease (original)
2.51547E+15,Septal infarction by electrocardiogram (finding),Q code group Coronary Heart Disease (original)
2.51548E+15,Septal infarction by electrocardiogram (finding),Q code group Coronary Heart Disease (original)
251679016,History of angina pectoris (situation),Q code group Coronary Heart Disease (original)
251692018,History of transient ischemic attack (situation),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.52635E+15,Old myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2534664018,Ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
2534674015,Chronic myocardial ischemia (disorder),Q code group Coronary Heart Disease (original)
2536393012,Atherosclerosis of coronary artery (disorder),Q code group Coronary Heart Disease (original)
2536395017,Coronary arteriosclerosis (disorder),Q code group Coronary Heart Disease (original)
2537480011,Ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
2537483013,Chronic myocardial ischemia (disorder),Q code group Coronary Heart Disease (original)
256452010,Electrocardiographic myocardial infarction (finding),Q code group Coronary Heart Disease (original)
256454011,Electrocardiographic old myocardial infarction (finding),Q code group Coronary Heart Disease (original)
256455012,Anteroseptal infarction on electrocardiogram (finding),Q code group Coronary Heart Disease (original)
256457016,Electrocardiographic posterior/inferior infarct (finding),Q code group Coronary Heart Disease (original)
256458014,Electrocardiographic subendocardial infarct (finding),Q code group Coronary Heart Disease (original)
256459018,Lateral infarction on electrocardiogram (finding),Q code group Coronary Heart Disease (original)
256460011,Electrocardiographic myocardial infarction (finding),Q code group Coronary Heart Disease (original)
2.57153E+15,Preinfarction syndrome (disorder),Q code group Coronary Heart Disease (original)
2.57156E+15,Preinfarction syndrome (disorder),Q code group Coronary Heart Disease (original)
2.57157E+15,Preinfarction syndrome (disorder),Q code group Coronary Heart Disease (original)
25897016,Subclavian steal syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.60911E+15,Non-obstructive atherosclerosis of coronary artery (disorder),Q code group Coronary Heart Disease (original)
2.61661E+15,Inferior myocardial infarction on electrocardiogram (finding),Q code group Coronary Heart Disease (original)
2.61662E+15,Inferior myocardial infarction on electrocardiogram (finding),Q code group Coronary Heart Disease (original)
2.61663E+15,Inferior myocardial infarction on electrocardiogram (finding),Q code group Coronary Heart Disease (original)
2.61664E+15,Inferior myocardial infarction on electrocardiogram (finding),Q code group Coronary Heart Disease (original)
2619484018,Coronary thrombosis not resulting in myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
262247015,Coronary arteriography abnormal (finding),Q code group Coronary Heart Disease (original)
264492012,Angina control (finding),Q code group Coronary Heart Disease (original)
264493019,Angina control - good (finding),Q code group Coronary Heart Disease (original)
264494013,Angina control - poor (finding),Q code group Coronary Heart Disease (original)
264495014,Angina control - improving (finding),Q code group Coronary Heart Disease (original)
264496010,Angina control - worsening (finding),Q code group Coronary Heart Disease (original)
264497018,Angina control (finding),Q code group Coronary Heart Disease (original)
2.66344E+15,Acute infarction of papillary muscle (disorder),Q code group Coronary Heart Disease (original)
2.6646E+15,Multi-infarct dementia with delirium (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.66461E+15,Multi-infarct dementia with delirium (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.66462E+15,Multi-infarct dementia with delirium (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.66485E+15,Right main coronary artery thrombosis (disorder),Q code group Coronary Heart Disease (original)
2.67311E+14,Occlusion and stenosis of multiple and bilateral cerebral arteries (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.72293E+15,Multi-infarct dementia with depression (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.72294E+15,Multi-infarct dementia with depression (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.72659E+15,Anterior choroidal artery syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.7266E+15,Anterior choroidal artery syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.72955E+15,Cerebral infarction due to occlusion of cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.72957E+15,Cerebral infarction due to stenosis of cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.72959E+15,Postoperative nontransmural myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.72961E+15,Postoperative transmural myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.72963E+15,Acute nontransmural myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.72967E+15,Acute transmural myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.73731E+15,Multiple AND bilateral precerebral artery thrombosis (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.81882E+15,Occlusion of cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.8553E+15,Myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.85531E+15,Myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.85532E+15,Myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.85534E+15,Myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.85535E+15,Myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
2.87803E+15,Coronary artery spasm (disorder),Q code group Coronary Heart Disease (original)
2.87804E+15,Coronary artery spasm (disorder),Q code group Coronary Heart Disease (original)
2.89354E+15,Weber-Gubler syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.89355E+15,Weber-Gubler syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.90157E+15,Completed stroke (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.91232E+15,Multi-infarct dementia with delusions (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.91233E+15,Multi-infarct dementia with delusions (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.91234E+15,Multi-infarct dementia with delusions (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
294656010,Multi-infarct dementia (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
2.95339E+15,Left anterior descending coronary artery thrombosis (disorder),Q code group Coronary Heart Disease (original)
2.98746E+15,Rupture of ventricle due to acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
299342019,Lacunar infarction (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
299707016,Acute myocardial infarction of anterior wall (disorder),Q code group Coronary Heart Disease (original)
299708014,Acute anteroapical myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
299709018,Acute myocardial infarction of anterior wall (disorder),Q code group Coronary Heart Disease (original)
299710011,Acute posterior myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
299711010,Acute myocardial infarction of lateral wall (disorder),Q code group Coronary Heart Disease (original)
299712015,True posterior myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
299714019,Acute myocardial infarction of inferior wall (disorder),Q code group Coronary Heart Disease (original)
299718016,Acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
299719012,Acute atrial infarction (disorder),Q code group Coronary Heart Disease (original)
299720018,Acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
299721019,Acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
299723016,Ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
299741012,Preinfarction syndrome (disorder),Q code group Coronary Heart Disease (original)
299742017,Coronary thrombosis not resulting in myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
299745015,Acute coronary insufficiency (disorder),Q code group Coronary Heart Disease (original)
299750014,Ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
299757012,Angina (disorder),Q code group Coronary Heart Disease (original)
299758019,Angina (disorder),Q code group Coronary Heart Disease (original)
299763015,Angina decubitus (disorder),Q code group Coronary Heart Disease (original)
299765010,Angina (disorder),Q code group Coronary Heart Disease (original)
299776014,Chronic ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
299782012,Single coronary vessel disease (disorder),Q code group Coronary Heart Disease (original)
299783019,Double coronary vessel disease (disorder),Q code group Coronary Heart Disease (original)
299796018,Generalized ischemic myocardial dysfunction (disorder),Q code group Coronary Heart Disease (original)
299800012,Chronic ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
299804015,Chronic ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
299805019,Chronic ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
299808017,Subsequent myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
299811016,Subsequent myocardial infarction of anterior wall (disorder),Q code group Coronary Heart Disease (original)
299812011,Subsequent myocardial infarction of inferior wall (disorder),Q code group Coronary Heart Disease (original)
299813018,Subsequent myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
299834013,Ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
299835014,Ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
300200014,Arteriosclerotic vascular disease (disorder),Q code group Coronary Heart Disease (original)
300312010,Cerebral infarct due to thrombosis of precerebral arteries (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300313017,Cerebral infarction due to embolism of precerebral arteries (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300321011,Cerebral infarction due to thrombosis of cerebral arteries (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300322016,Cerebral infarction due to embolism of cerebral arteries (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300344014,Carotid artery syndrome hemispheric (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300345010,Multiple and bilateral precerebral artery syndromes (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300348012,Transient ischemic attack (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300349016,Transient ischemic attack (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300352012,Impending cerebral ischemia (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300353019,Intermittent cerebral ischemia (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300362017,Middle cerebral artery syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300363010,Anterior cerebral artery syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300364016,Posterior cerebral artery syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300366019,Cerebellar stroke syndrome (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300370010,Left sided cerebral hemisphere cerebrovascular accident (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300371014,Right sided cerebral hemisphere cerebrovascular accident (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300395011,Occlusion and stenosis of middle cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300396012,Occlusion and stenosis of anterior cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300398013,Occlusion and stenosis of posterior cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300436010,Arteriosclerotic vascular disease (disorder),Q code group Coronary Heart Disease (original)
300606012,Anterior spinal and vertebral artery compression syndromes (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300874013,Angina (disorder),Q code group Coronary Heart Disease (original)
300876010,Ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
300879015,Chronic ischemic heart disease (disorder),Q code group Coronary Heart Disease (original)
300881018,Subsequent myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
300882013,Subsequent myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
300941014,Cerebral infarction (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300943012,Occlusion of cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
300959012,Arteriosclerotic vascular disease (disorder),Q code group Coronary Heart Disease (original)
3.02478E+15,"Past myocardial infarction diagnosed on electrocardiogram AND/OR other special investigation, but currently presenting no symptoms (disorder)",Q code group Coronary Heart Disease (original)
3.02479E+15,"Past myocardial infarction diagnosed on electrocardiogram AND/OR other special investigation, but currently presenting no symptoms (disorder)",Q code group Coronary Heart Disease (original)
3.14804E+15,Embolism of precerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3.16614E+15,"Angina, class II (disorder)",Q code group Coronary Heart Disease (original)
3.1681E+15,"Myocardial imaging for infarct with ejection fraction, first pass technique (procedure)",Q code group Coronary Heart Disease (original)
3.18577E+15,Microinfarct of heart (disorder),Q code group Coronary Heart Disease (original)
3.19111E+15,Congenital coronary artery sclerosis (disorder),Q code group Coronary Heart Disease (original)
32122016,Status anginosus (disorder),Q code group Coronary Heart Disease (original)
3.2447E+15,Subendocardial ischemia (disorder),Q code group Coronary Heart Disease (original)
3.28646E+15,Thrombosis of precerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3.34347E+15,Acute anteroapical myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
3.37136E+15,Coronary arteriosclerosis (disorder),Q code group Coronary Heart Disease (original)
3.37137E+15,Coronary arteriosclerosis (disorder),Q code group Coronary Heart Disease (original)
3.37138E+15,Coronary arteriosclerosis (disorder),Q code group Coronary Heart Disease (original)
3.3714E+15,Coronary arteriosclerosis (disorder),Q code group Coronary Heart Disease (original)
3.37141E+15,Coronary arteriosclerosis (disorder),Q code group Coronary Heart Disease (original)
3.37142E+15,Coronary arteriosclerosis (disorder),Q code group Coronary Heart Disease (original)
3.3816E+15,Acute myocardial infarction of anterior wall (disorder),Q code group Coronary Heart Disease (original)
338974012,Ischemic chest pain (finding),Q code group Coronary Heart Disease (original)
3.41423E+15,Multi-infarct dementia (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3.41425E+15,Multi-infarct dementia (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3.41426E+15,Multi-infarct dementia (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3.41442E+15,Left main coronary artery thrombosis (disorder),Q code group Coronary Heart Disease (original)
3.4272E+15,Acute myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
3.44183E+15,Progressing stroke (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3.44184E+15,Progressing stroke (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3.45218E+15,Acute myocardial infarction of lateral wall (disorder),Q code group Coronary Heart Disease (original)
345639010,Infarction - precerebral (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
345650013,Brain stem infarction (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
345655015,Pure motor lacunar infarction (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
345658018,Pure sensory lacunar infarction (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
345684012,Carotid territory transient ischemic attack (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3.45879E+15,Angina decubitus (disorder),Q code group Coronary Heart Disease (original)
3.45956E+15,Acute myocardial infarction of apical-lateral wall (disorder),Q code group Coronary Heart Disease (original)
3.49495E+15,Aortocoronary artery bypass graft repeated (situation),Q code group Coronary Heart Disease (original)
3.49496E+15,Aortocoronary artery bypass graft repeated (situation),Q code group Coronary Heart Disease (original)
3.499E+15,"Angina, class I (disorder)",Q code group Coronary Heart Disease (original)
350346019,Triple vessel disease of the heart (disorder),Q code group Coronary Heart Disease (original)
350348018,Stable angina (disorder),Q code group Coronary Heart Disease (original)
350350014,New onset angina (disorder),Q code group Coronary Heart Disease (original)
350354017,Silent myocardial ischemia (disorder),Q code group Coronary Heart Disease (original)
350376014,Silent myocardial infarction (disorder),Q code group Coronary Heart Disease (original)
3505637014,Occlusion of left middle cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3505639012,Occlusion of right middle cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3505651014,Occlusion of left posterior cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3505653012,Occlusion of right posterior cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3505881015,Thrombosis of right middle cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3505883017,Thrombosis of left middle cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3507425016,Cerebrovascular accident due to stenosis of right vertebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3507427012,Cerebrovascular accident due to stenosis of left vertebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3508952018,Cerebrovascular accident due to thrombus of left carotid artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3508953011,Cerebrovascular accident due to thrombus of left carotid artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3508955016,Cerebrovascular accident due to thrombus of basilar artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3508956015,Cerebrovascular accident due to thrombus of basilar artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3508958019,Cerebrovascular accident due to thrombus of right carotid artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3508959010,Cerebrovascular accident due to thrombus of right carotid artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3508961018,Cerebrovascular accident due to thrombus of right middle cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3508962013,Cerebrovascular accident due to thrombus of right middle cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3508964014,Cerebrovascular accident due to thrombus of left middle cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
3508965010,Cerebrovascular accident due to thrombus of left middle cerebral artery (disorder),Q code group Ischaemic Stroke or TIA (excluding haemorrhage) - (original)
