prodcodeid,term,condition
8.49444E+15,Dilacort 2.5mg gastro-resistant tablets (Crescent Pharma Ltd) (product),Oral corticosteroids 
8.49454E+15,Dilacort 5mg gastro-resistant tablets (Crescent Pharma Ltd) (product),Oral corticosteroids 
1.23895E+16,Glensoludex 2mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd) (product),Oral corticosteroids 
1.23896E+16,Glensoludex 4mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd) (product),Oral corticosteroids 
1.23897E+16,Glensoludex 8mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd) (product),Oral corticosteroids 
1.289E+16,Hydrocortisone 10mg soluble tablets sugar free (product),Oral corticosteroids 
7.44541E+14,Hydrocortisone 10mg tablets (product),Oral corticosteroids 
7.40241E+14,Hydrocortisone 10mg/5ml oral suspension (product),Oral corticosteroids 
1.26333E+16,Hydrocortisone 1mg granules in capsules for opening (product),Oral corticosteroids 
8.14204E+15,Hydrocortisone 20mg modified-release tablets (product),Oral corticosteroids 
7.42241E+14,Hydrocortisone 20mg tablets (product),Oral corticosteroids 
2.14944E+15,Hydrocortisone 25mg/5ml oral suspension (product),Oral corticosteroids 
1.26334E+16,Hydrocortisone 2mg granules in capsules for opening (product),Oral corticosteroids 
1.26332E+16,Hydrocortisone 500microgram granules in capsules for opening (product),Oral corticosteroids 
1.26335E+16,Hydrocortisone 5mg granules in capsules for opening (product),Oral corticosteroids 
8.14194E+15,Hydrocortisone 5mg modified-release tablets (product),Oral corticosteroids 
1.83014E+15,Hydrocortisone 5mg/5ml oral suspension (product),Oral corticosteroids 
2.62374E+15,Hydrocortisone 5mg/5ml oral suspension sugar free (product),Oral corticosteroids 
7.44641E+14,Hydrocortone 10mg tablets (Merck Sharp & Dohme Ltd) (product),Oral corticosteroids 
7.44741E+14,Hydrocortone 20mg tablets (Merck Sharp & Dohme Ltd) (product),Oral corticosteroids 
1.30102E+16,Hydventia 10mg tablets (OcXia) (product),Oral corticosteroids 
1.30103E+16,Hydventia 20mg tablets (OcXia) (product),Oral corticosteroids 
5.99064E+15,Lodotra 1mg modified-release tablets (Napp Pharmaceuticals Ltd) (product),Oral corticosteroids 
5.99074E+15,Lodotra 2mg modified-release tablets (Napp Pharmaceuticals Ltd) (product),Oral corticosteroids 
5.99084E+15,Lodotra 5mg modified-release tablets (Napp Pharmaceuticals Ltd) (product),Oral corticosteroids 
6.51274E+15,Martapan 2mg/5ml oral solution (Martindale Pharmaceuticals Ltd) (product),Oral corticosteroids 
8.98441E+14,Medrone 100mg tablets (Pfizer Ltd) (product),Oral corticosteroids 
8.99641E+14,Medrone 16mg tablets (Pfizer Ltd) (product),Oral corticosteroids 
8.99741E+14,Medrone 2mg tablets (Pfizer Ltd) (product),Oral corticosteroids 
8.99841E+14,Medrone 4mg tablets (Pfizer Ltd) (product),Oral corticosteroids 
8.98541E+14,Methylprednisolone 100mg tablets (product),Oral corticosteroids 
9.03141E+14,Methylprednisolone 16mg tablets (product),Oral corticosteroids 
9.04141E+14,Methylprednisolone 2mg tablets (product),Oral corticosteroids 
9.04241E+14,Methylprednisolone 4mg tablets (product),Oral corticosteroids 
1.23983E+16,Neofordex 40mg tablets (Aspire Pharma Ltd) (product),Oral corticosteroids 
1.02126E+16,Pevanti 10mg tablets (AMCo) (product),Oral corticosteroids 
1.02124E+16,Pevanti 2.5mg tablets (AMCo) (product),Oral corticosteroids 
1.02127E+16,Pevanti 20mg tablets (AMCo) (product),Oral corticosteroids 
1.02129E+16,Pevanti 25mg tablets (AMCo) (product),Oral corticosteroids 
1.02125E+16,Pevanti 5mg tablets (AMCo) (product),Oral corticosteroids 
8.14224E+15,Plenadren 20mg modified-release tablets (ViroPharma Ltd) (product),Oral corticosteroids 
8.14214E+15,Plenadren 5mg modified-release tablets (ViroPharma Ltd) (product),Oral corticosteroids 
1.02121E+16,Prednisolone 10mg tablets (product),Oral corticosteroids 
1.04943E+16,Prednisolone 10mg/ml oral solution sugar free (product),Oral corticosteroids 
9.11914E+15,Prednisolone 15mg/5ml oral solution (product),Oral corticosteroids 
1.15078E+16,Prednisolone 1mg gastro-resistant tablets (product),Oral corticosteroids 
1.13174E+15,Prednisolone 1mg tablets (product),Oral corticosteroids 
1.11424E+15,Prednisolone 2.5mg gastro-resistant tablets (product),Oral corticosteroids 
1.13184E+15,Prednisolone 2.5mg tablets (product),Oral corticosteroids 
1.02123E+16,Prednisolone 20mg tablets (product),Oral corticosteroids 
1.13074E+15,Prednisolone 25mg tablets (product),Oral corticosteroids 
1.16648E+16,Prednisolone 30mg tablets (product),Oral corticosteroids 
1.11434E+15,Prednisolone 5mg gastro-resistant tablets (product),Oral corticosteroids 
1.12734E+15,Prednisolone 5mg soluble tablets (product),Oral corticosteroids 
1.13194E+15,Prednisolone 5mg tablets (product),Oral corticosteroids 
1.02668E+16,Prednisolone 5mg/5ml oral solution unit dose (product),Oral corticosteroids 
5.99014E+15,Prednisone 1mg modified-release tablets (product),Oral corticosteroids 
5.99024E+15,Prednisone 2mg modified-release tablets (product),Oral corticosteroids 
5.99034E+15,Prednisone 5mg modified-release tablets (product),Oral corticosteroids 
