"prodcodeid,""termfromemis"",""productname"",""drugsubstancename"",""bnfchapter"",""dmdid"""
"10025241000033112,""Bisoprolol 10mg / Aspirin 100mg capsules"",""Bisoprolol 10mg / Aspirin 100mg capsules"",""Aspirin/ Bisoprolol fumarate"",""2040000"",""28365311000001102"""
"10650041000033116,""Nadolol 20mg/5ml oral suspension"",""Nadolol 20mg/5ml oral suspension"",""Nadolol"",""2040000"",""16131011000001109"""
"10650141000033117,""Nadolol 30mg/5ml oral suspension"",""Nadolol 30mg/5ml oral suspension"",""Nadolol"",""2040000"",""16110011000001107"""
"13577541000033118,""Nebivolol 1.25mg tablets"",""Nebivolol 1.25mg tablets"",""Nebivolol hydrochloride"",""2040000"",""38659211000001107"""
"13910541000033116,""Metoprolol 25mg tablets"",""Metoprolol 25mg tablets"",""Metoprolol tartrate"",""2040000"",""39992211000001108"""
"213441000033119,""Captopril 12.5mg tablets"",""Captopril 12.5mg tablets"",""Captopril"",""2050501"",""318820009"""
"214441000033117,""Captopril 25mg tablets"",""Captopril 25mg tablets"",""Captopril"",""2050501"",""318821008"""
"214541000033116,""Captopril 50mg tablets"",""Captopril 50mg tablets"",""Captopril"",""2050501"",""318824000"""
"258141000033110,""Cilazapril 1mg tablets"",""Cilazapril 1mg tablets"",""Cilazapril monohydrate"",""2050501"",""39685211000001103"""
"258241000033115,""Cilazapril 2.5mg tablets"",""Cilazapril 2.5mg tablets"",""Cilazapril monohydrate"",""2050501"",""39685311000001106"""
"258441000033119,""Cilazapril 500microgram tablets"",""Cilazapril 500microgram tablets"",""Cilazapril monohydrate"",""2050501"",""39686011000001104"""
"258641000033117,""Cilazapril 5mg tablets"",""Cilazapril 5mg tablets"",""Cilazapril monohydrate"",""2050501"",""39685911000001107"""
"522641000033110,""Enalapril 10mg tablets"",""Enalapril 10mg tablets"",""Enalapril maleate"",""2050501"",""318853004"""
"522741000033118,""Enalapril 20mg tablets"",""Enalapril 20mg tablets"",""Enalapril maleate"",""2050501"",""318855006"""
"522841000033111,""Enalapril 5mg tablets"",""Enalapril 5mg tablets"",""Enalapril maleate"",""2050501"",""318851002"""
"523541000033115,""Enalapril 2.5mg tablets"",""Enalapril 2.5mg tablets"",""Enalapril maleate"",""2050501"",""318850001"""
"609141000033111,""Fosinopril 10mg tablets"",""Fosinopril 10mg tablets"",""Fosinopril sodium"",""2050501"",""318909008"""
"609241000033116,""Fosinopril 20mg tablets"",""Fosinopril 20mg tablets"",""Fosinopril sodium"",""2050501"",""318910003"""
"837841000033110,""Lisinopril 10mg tablets"",""Lisinopril 10mg tablets"",""Lisinopril"",""2050501"",""318859000"""
"837941000033119,""Lisinopril 2.5mg tablets"",""Lisinopril 2.5mg tablets"",""Lisinopril"",""2050501"",""318857003"""
"838041000033116,""Lisinopril 20mg tablets"",""Lisinopril 20mg tablets"",""Lisinopril"",""2050501"",""318860005"""
"838141000033117,""Lisinopril 5mg tablets"",""Lisinopril 5mg tablets"",""Lisinopril"",""2050501"",""318858008"""
"938041000033113,""Moexipril 15mg tablets"",""Moexipril 15mg tablets"",""Moexipril hydrochloride"",""2050501"",""318935009"""
"938141000033112,""Moexipril 7.5mg tablets"",""Moexipril 7.5mg tablets"",""Moexipril hydrochloride"",""2050501"",""318934008"""
"1067841000033115,""Perindopril erbumine 2mg tablets"",""Perindopril erbumine 2mg tablets"",""Perindopril erbumine"",""2050501"",""318896009"""
"1067941000033111,""Perindopril erbumine 4mg tablets"",""Perindopril erbumine 4mg tablets"",""Perindopril erbumine"",""2050501"",""318897000"""
"1149241000033111,""Quinapril 5mg tablets"",""Quinapril 5mg tablets"",""Quinapril hydrochloride"",""2050501"",""318885001"""
"1149341000033118,""Quinapril 10mg tablets"",""Quinapril 10mg tablets"",""Quinapril hydrochloride"",""2050501"",""318886000"""
"1149441000033112,""Quinapril 20mg tablets"",""Quinapril 20mg tablets"",""Quinapril hydrochloride"",""2050501"",""318887009"""
"1149541000033113,""Quinapril 40mg tablets"",""Quinapril 40mg tablets"",""Quinapril hydrochloride"",""2050501"",""318894007"""
"1151341000033117,""Ramipril 1.25mg capsules"",""Ramipril 1.25mg capsules"",""Ramipril"",""2050501"",""318900007"""
"1151441000033111,""Ramipril 2.5mg capsules"",""Ramipril 2.5mg capsules"",""Ramipril"",""2050501"",""318901006"""
"1151541000033112,""Ramipril 5mg capsules"",""Ramipril 5mg capsules"",""Ramipril"",""2050501"",""318902004"""
"1453941000033115,""Trandolapril 1mg capsules"",""Trandolapril 1mg capsules"",""Trandolapril"",""2050501"",""318925003"""
"1454041000033118,""Trandolapril 2mg capsules"",""Trandolapril 2mg capsules"",""Trandolapril"",""2050501"",""318926002"""
"1454141000033119,""Trandolapril 500microgram capsules"",""Trandolapril 500microgram capsules"",""Trandolapril"",""2050501"",""318924004"""
"1739741000033112,""Imidapril 10mg tablets"",""Imidapril 10mg tablets"",""Imidapril hydrochloride"",""2050501"",""318944005"""
"1739841000033119,""Imidapril 5mg tablets"",""Imidapril 5mg tablets"",""Imidapril hydrochloride"",""2050501"",""318943004"""
"1769841000033111,""Ramipril 10mg capsules"",""Ramipril 10mg capsules"",""Ramipril"",""2050501"",""318906001"""
"1893141000033119,""Co-zidocapt 12.5mg/25mg tablets"",""Co-zidocapt 12.5mg/25mg tablets"",""Captopril/ Hydrochlorothiazide"",""2050501"",""318806002"""
"1893241000033114,""Co-zidocapt 25mg/50mg tablets"",""Co-zidocapt 25mg/50mg tablets"",""Captopril/ Hydrochlorothiazide"",""2050501"",""318807006"""
"2145841000033114,""Imidapril 20mg tablets"",""Imidapril 20mg tablets"",""Imidapril hydrochloride"",""2050501"",""318942009"""
"2656341000033110,""Captopril 5mg/5ml oral suspension"",""Captopril 5mg/5ml oral suspension"",""Captopril"",""2050501"",""8351811000001102"""
"2719841000033113,""Captopril 20mg/5ml oral suspension"",""Captopril 20mg/5ml oral suspension"",""Captopril"",""2050501"",""8348311000001101"""
"2846741000033119,""Perindopril erbumine 8mg tablets"",""Perindopril erbumine 8mg tablets"",""Perindopril erbumine"",""2050501"",""374667004"""
"2883341000033118,""Ramipril 5mg/5ml oral suspension"",""Ramipril 5mg/5ml oral suspension"",""Ramipril"",""2050501"",""8720911000001100"""
"2989541000033115,""Ramipril 1.25mg tablets"",""Ramipril 1.25mg tablets"",""Ramipril"",""2050501"",""408040007"""
"2989641000033119,""Ramipril 2.5mg tablets"",""Ramipril 2.5mg tablets"",""Ramipril"",""2050501"",""408050008"""
"2989741000033111,""Ramipril 5mg tablets"",""Ramipril 5mg tablets"",""Ramipril"",""2050501"",""408051007"""
"2989841000033118,""Ramipril 10mg tablets"",""Ramipril 10mg tablets"",""Ramipril"",""2050501"",""408052000"""
"3012741000033115,""Captopril 25mg/5ml oral solution"",""Captopril 25mg/5ml oral solution"",""Captopril"",""2050501"",""8348511000001107"""
"3014741000033111,""Trandolapril 4mg capsules"",""Trandolapril 4mg capsules"",""Trandolapril"",""2050501"",""410958005"""
"3152141000033115,""Lisinopril 5mg/5ml oral suspension"",""Lisinopril 5mg/5ml oral suspension"",""Lisinopril"",""2050501"",""8622611000001101"""
"3160641000033118,""Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets"",""Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets"",""Hydrochlorothiazide/ Quinapril hydrochloride"",""2050501"",""39693411000001102"""
"3160841000033117,""Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets"",""Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets"",""Hydrochlorothiazide/ Lisinopril"",""2050501"",""318884002"""
"3160941000033113,""Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets"",""Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets"",""Hydrochlorothiazide/ Lisinopril"",""2050501"",""318880006"""
"3161641000033114,""Perindopril erbumine 4mg / Indapamide 1.25mg tablets"",""Perindopril erbumine 4mg / Indapamide 1.25mg tablets"",""Indapamide/ Perindopril erbumine"",""2050501"",""3437611000001100"""
"3162241000033117,""Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets"",""Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets"",""Enalapril maleate/ Hydrochlorothiazide"",""2050501"",""39691911000001109"""
"3163041000033116,""Verapamil 180mg modified-release / Trandolapril 2mg capsules"",""Verapamil 180mg modified-release / Trandolapril 2mg capsules"",""Trandolapril/ Verapamil hydrochloride"",""2050501"",""36149211000001102"""
"3163241000033112,""Felodipine 5mg modified-release / Ramipril 5mg tablets"",""Felodipine 5mg modified-release / Ramipril 5mg tablets"",""Felodipine/ Ramipril"",""2050501"",""318177008"""
"3163341000033119,""Felodipine 2.5mg modified-release / Ramipril 2.5mg tablets"",""Felodipine 2.5mg modified-release / Ramipril 2.5mg tablets"",""Felodipine/ Ramipril"",""2050501"",""318176004"""
"3333941000033117,""Captopril 8mg/5ml oral suspension"",""Captopril 8mg/5ml oral suspension"",""Captopril"",""2050501"",""19820711000001101"""
"3851341000033117,""Captopril 3mg/5ml oral solution"",""Captopril 3mg/5ml oral solution"",""Captopril"",""2050501"",""8350511000001107"""
"3940841000033110,""Captopril 2mg capsules"",""Captopril 2mg capsules"",""Captopril"",""2050501"",""8791811000001109"""
"4152241000033113,""Ramipril 1.25mg/5ml oral suspension"",""Ramipril 1.25mg/5ml oral suspension"",""Ramipril"",""2050501"",""8720311000001101"""
"4453941000033114,""Perindopril arginine 2.5mg tablets"",""Perindopril arginine 2.5mg tablets"",""Perindopril arginine"",""2050501"",""13454211000001109"""
