medcodeid,term,condition
1779323014,Rheumatoid arthritis with vasculitis (disorder),Q code group Rheumatoid Arthritis
3514958019,Rheumatoid arthritis without erosion (disorder),Q code group Rheumatoid Arthritis
1.19044E+16,Rheumatoid bursitis (disorder),Q code group Rheumatoid Arthritis
1.62301E+14,Rheumatoid lung disease (disorder),Q code group Rheumatoid Arthritis
1778239014,Rheumatoid lung disease (disorder),Q code group Rheumatoid Arthritis
1786545019,Rheumatoid lung disease (disorder),Q code group Rheumatoid Arthritis
8.10219E+15,Rheumatoid lung disease with rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
300221014,Rheumatoid myocarditis (disorder),Q code group Rheumatoid Arthritis
359292012,Seronegative rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
1.19039E+16,Seropositive erosive rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
451461014,Seropositive erosive rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
1.49911E+14,Seropositive rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
312518013,Seropositive rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
312534011,Seropositive rheumatoid arthritis (disorder),Q code group Rheumatoid Arthritis
9.35744E+15,Seropositive rheumatoid arthritis of multiple joints (disorder),Q code group Rheumatoid Arthritis
1.62341E+14,Subcutaneous rheumatoid nodule (disorder),Q code group Rheumatoid Arthritis
3.04257E+15,Subcutaneous rheumatoid nodule (disorder),Q code group Rheumatoid Arthritis
3.04258E+15,Subcutaneous rheumatoid nodule (disorder),Q code group Rheumatoid Arthritis
485614018,Subcutaneous rheumatoid nodule (disorder),Q code group Rheumatoid Arthritis
5.1417E+15,Systemic rheumatoid vasculitis (disorder),Q code group Rheumatoid Arthritis
3.90175E+15,Uveitis-rheumatoid arthritis syndrome (disorder),Q code group Rheumatoid Arthritis
