prodcodeid,termfromemis,productname,drugsubstancename,bnfchapter,dmdid
8.34841E+14,lipostat 10mg tablets (bristol-myers squibb pharmaceuticals ltd),lipostat 10mg tablets,pravastatin sodium,2120000,8.02411E+14
8.34941E+14,lipostat 20mg tablets (bristol-myers squibb pharmaceuticals ltd),lipostat 20mg tablets,pravastatin sodium,2120000,4.54111E+14
9.2041E+13,atorvastatin 20mg tablets,atorvastatin 20mg tablets,atorvastatin calcium trihydrate,2120000,320030001
3.29274E+15,inegy 10mg/20mg tablets (merck sharp & dohme ltd),inegy 10mg/20mg tablets,ezetimibe/ simvastatin,2120000,9.30991E+15
3.29294E+15,inegy 10mg/80mg tablets (merck sharp & dohme ltd),inegy 10mg/80mg tablets,ezetimibe/ simvastatin,2120000,9.31061E+15
9.2141E+13,atorvastatin 40mg tablets,atorvastatin 40mg tablets,atorvastatin calcium trihydrate,2120000,320031002
2.89164E+15,rosuvastatin 20mg tablets,rosuvastatin 20mg tablets,rosuvastatin calcium,2120000,408037007
8.36541E+14,lipostat 40mg tablets (bristol-myers squibb pharmaceuticals ltd),lipostat 40mg tablets,pravastatin sodium,2120000,5.35011E+14
2.18914E+15,lescol xl 80mg tablets (novartis pharmaceuticals uk ltd),lescol xl 80mg tablets,fluvastatin sodium,2120000,3.78111E+14
1.1242E+16,cholib 145mg/40mg tablets (mylan),cholib 145mg/40mg tablets,fenofibrate/ simvastatin,2120000,3.21699E+16
8.19941E+14,lescol 20mg capsules (novartis pharmaceuticals uk ltd),lescol 20mg capsules,fluvastatin sodium,2120000,8.4811E+13
3.29244E+15,simvastatin 20mg / ezetimibe 10mg tablets,simvastatin 20mg / ezetimibe 10mg tablets,ezetimibe/ simvastatin,2120000,414177002
8.36241E+14,lipitor 10mg tablets (upjohn uk ltd),lipitor 10mg tablets,atorvastatin calcium trihydrate,2120000,6.43911E+14
3.29284E+15,inegy 10mg/40mg tablets (merck sharp & dohme ltd),inegy 10mg/40mg tablets,ezetimibe/ simvastatin,2120000,9.31031E+15
3.29264E+15,simvastatin 80mg / ezetimibe 10mg tablets,simvastatin 80mg / ezetimibe 10mg tablets,ezetimibe/ simvastatin,2120000,414179004
8.36341E+14,lipitor 20mg tablets (upjohn uk ltd),lipitor 20mg tablets,atorvastatin calcium trihydrate,2120000,2.32011E+14
2.18904E+15,fluvastatin 80mg modified-release tablets,fluvastatin 80mg modified-release tablets,fluvastatin sodium,2120000,3.65664E+16
5.78641E+14,fluvastatin 20mg capsules,fluvastatin 20mg capsules,fluvastatin sodium,2120000,320022002
1.13654E+15,pravastatin 40mg tablets,pravastatin 40mg tablets,pravastatin sodium,2120000,320014009
