prodcodeid,termfromemis,productname,drugsubstancename,bnfchapter,dmdid
3.95044E+15,Aripiprazole 15mg orodispersible tablets sugar free,Aripiprazole 15mg orodispersible tablets sugar free,Aripiprazole,4020100,1.06754E+16
3.95054E+15,Aripiprazole 1mg/ml oral solution,Aripiprazole 1mg/ml oral solution,Aripiprazole,4020100,417374006
3.95064E+15,Abilify 10mg orodispersible tablets (Otsuka Pharmaceuticals (U.K.) Ltd),Abilify 10mg orodispersible tablets,Aripiprazole,NA,1.06646E+16
3.95074E+15,Abilify 15mg orodispersible tablets (Otsuka Pharmaceuticals (U.K.) Ltd),Abilify 15mg orodispersible tablets,Aripiprazole,NA,1.06649E+16
3.95084E+15,Abilify 1mg/ml oral solution (Otsuka Pharmaceuticals (U.K.) Ltd),Abilify 1mg/ml oral solution,Aripiprazole,NA,1.06672E+16
3.99624E+15,Olanzapine 20mg tablets,Olanzapine 20mg tablets,Olanzapine,4020100,374054003
3.99634E+15,Zyprexa 20mg tablets (Eli Lilly and Company Ltd),Zyprexa 20mg tablets,Olanzapine,NA,1.08785E+16
4.01204E+15,Risperidone 3mg orodispersible tablets sugar free,Risperidone 3mg orodispersible tablets sugar free,Risperidone,4020100,1.11408E+16
4.01214E+15,Risperidone 4mg orodispersible tablets sugar free,Risperidone 4mg orodispersible tablets sugar free,Risperidone,4020100,1.11409E+16
4.01224E+15,Risperdal Quicklet 3mg orodispersible tablets (Janssen-Cilag Ltd),Risperdal Quicklet 3mg orodispersible tablets,Risperidone,NA,1.11346E+16
4.01234E+15,Risperdal Quicklet 4mg orodispersible tablets (Janssen-Cilag Ltd),Risperdal Quicklet 4mg orodispersible tablets,Risperidone,NA,1.11343E+16
4.20064E+15,Paliperidone 3mg modified-release tablets,Paliperidone 3mg modified-release tablets,Paliperidone,4020100,1.17632E+16
4.20074E+15,Paliperidone 6mg modified-release tablets,Paliperidone 6mg modified-release tablets,Paliperidone,4020100,1.17633E+16
4.20084E+15,Paliperidone 9mg modified-release tablets,Paliperidone 9mg modified-release tablets,Paliperidone,4020100,1.17634E+16
4.20094E+15,Invega 3mg modified-release tablets (Janssen-Cilag Ltd),Invega 3mg modified-release tablets,Paliperidone,NA,1.17493E+16
4.20104E+15,Invega 6mg modified-release tablets (Janssen-Cilag Ltd),Invega 6mg modified-release tablets,Paliperidone,NA,1.17498E+16
4.20114E+15,Invega 9mg modified-release tablets (Janssen-Cilag Ltd),Invega 9mg modified-release tablets,Paliperidone,NA,1.1751E+16
4.45674E+15,Aripiprazole 9.75mg/1.3ml solution for injection vials,Aripiprazole 9.75mg/1.3ml solution for injection vials,Aripiprazole,4020100,1.34564E+16
4.45684E+15,Abilify 9.75mg/1.3ml solution for injection vials (Otsuka Pharmaceuticals (U.K.) Ltd),Abilify 9.75mg/1.3ml solution for injection vials,Aripiprazole,NA,1.34511E+16
4.94014E+15,Amisulpride 25mg/5ml oral solution,Amisulpride 25mg/5ml oral solution,Amisulpride,4020100,8.27721E+15
5.07764E+15,Clozapine 50mg/ml oral suspension sugar free,Clozapine 50mg/ml oral suspension sugar free,Clozapine,4020100,1.55063E+16
5.07774E+15,Denzapine 50mg/ml oral suspension (Britannia Pharmaceuticals Ltd),Denzapine 50mg/ml oral suspension,Clozapine,NA,1.5506E+16
5.07794E+15,Clozapine 200mg tablets,Clozapine 200mg tablets,Clozapine,4020100,1.55062E+16
5.07804E+15,Clozapine 50mg tablets,Clozapine 50mg tablets,Clozapine,4020100,418754000
5.07814E+15,Denzapine 200mg tablets (Britannia Pharmaceuticals Ltd),Denzapine 200mg tablets,Clozapine,NA,1.55057E+16
5.07824E+15,Denzapine 50mg tablets (Britannia Pharmaceuticals Ltd),Denzapine 50mg tablets,Clozapine,NA,1.54989E+16
5.89094E+15,Amisulpride 25mg/5ml oral suspension,Amisulpride 25mg/5ml oral suspension,Amisulpride,4020100,8.27731E+15
5.99734E+15,Olanzapine 2.5mg/5ml oral solution,Olanzapine 2.5mg/5ml oral solution,Olanzapine,4020100,1.40158E+16
6.45674E+15,Zalasta 10mg tablets (Krka UK Ltd),Zalasta 10mg tablets,Olanzapine,NA,1.95883E+16
6.45684E+15,Zalasta 15mg tablets (Krka UK Ltd),Zalasta 15mg tablets,Olanzapine,NA,1.95885E+16
6.45694E+15,Zalasta 2.5mg tablets (Krka UK Ltd),Zalasta 2.5mg tablets,Olanzapine,NA,1.95877E+16
6.45704E+15,Zalasta 20mg tablets (Krka UK Ltd),Zalasta 20mg tablets,Olanzapine,NA,1.95887E+16
6.45714E+15,Zalasta 5mg tablets (Krka UK Ltd),Zalasta 5mg tablets,Olanzapine,NA,1.95879E+16
6.46534E+15,Zalasta 10mg orodispersible tablets (Krka UK Ltd),Zalasta 10mg orodispersible tablets,Olanzapine,NA,1.96097E+16
6.46564E+15,Zalasta 5mg orodispersible tablets (Krka UK Ltd),Zalasta 5mg orodispersible tablets,Olanzapine,NA,1.96082E+16
6.46594E+15,Olanzapine 5mg orodispersible tablets sugar free,Olanzapine 5mg orodispersible tablets sugar free,Olanzapine,4020100,1.96095E+16
6.46604E+15,Olanzapine 10mg orodispersible tablets sugar free,Olanzapine 10mg orodispersible tablets sugar free,Olanzapine,4020100,1.96091E+16
6.46614E+15,Olanzapine 15mg orodispersible tablets sugar free,Olanzapine 15mg orodispersible tablets sugar free,Olanzapine,4020100,1.96093E+16
6.46624E+15,Olanzapine 20mg orodispersible tablets sugar free,Olanzapine 20mg orodispersible tablets sugar free,Olanzapine,4020100,1.96094E+16
7.68164E+15,Olanzapine 10mg orodispersible tablets,Olanzapine 10mg orodispersible tablets,Olanzapine,4020100,1.96267E+16
7.68174E+15,Olanzapine 15mg orodispersible tablets,Olanzapine 15mg orodispersible tablets,Olanzapine,4020100,1.96268E+16
7.68184E+15,Olanzapine 20mg orodispersible tablets,Olanzapine 20mg orodispersible tablets,Olanzapine,4020100,1.96269E+16
7.68194E+15,Olanzapine 5mg orodispersible tablets,Olanzapine 5mg orodispersible tablets,Olanzapine,4020100,1.9627E+16
8.96024E+15,Aripiprazole 400mg powder and solvent for suspension for injection vials,Aripiprazole 400mg powder and solvent for suspension for injection vials,Aripiprazole,4020200,2.36612E+16
8.96044E+15,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection vials (Otsuka Pharmaceuticals (U.K.) Ltd),Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection vials,Aripiprazole,NA,2.36368E+16
1.09463E+16,Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes,Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes,Aripiprazole,4020200,3.10872E+16
1.09464E+16,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes (Otsuka Pharmaceuticals (U.K.) Ltd),Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes,Aripiprazole,NA,3.1078E+16
1.29887E+16,Olanzapine 2.5mg orodispersible tablets sugar free,Olanzapine 2.5mg orodispersible tablets sugar free,Olanzapine,4020100,3.6905E+16
1.29888E+16,Olanzapine 7.5mg orodispersible tablets sugar free,Olanzapine 7.5mg orodispersible tablets sugar free,Olanzapine,4020100,3.69051E+16
1.29903E+16,Arpoya 5mg tablets (Torrent Pharma (UK) Ltd),Arpoya 5mg tablets,Aripiprazole,NA,3.68684E+16
1.29904E+16,Arpoya 10mg tablets (Torrent Pharma (UK) Ltd),Arpoya 10mg tablets,Aripiprazole,NA,3.68687E+16
1.31583E+16,Clozapine 100mg orodispersible tablets sugar free,Clozapine 100mg orodispersible tablets sugar free,Clozapine,4020100,3.76975E+16
1.31584E+16,Clozapine 12.5mg orodispersible tablets sugar free,Clozapine 12.5mg orodispersible tablets sugar free,Clozapine,4020100,3.76977E+16
1.31585E+16,Clozapine 200mg orodispersible tablets sugar free,Clozapine 200mg orodispersible tablets sugar free,Clozapine,4020100,3.76978E+16
1.31586E+16,Clozapine 25mg orodispersible tablets sugar free,Clozapine 25mg orodispersible tablets sugar free,Clozapine,4020100,3.76979E+16
1.31587E+16,Clozapine 50mg orodispersible tablets sugar free,Clozapine 50mg orodispersible tablets sugar free,Clozapine,4020100,3.7698E+16
1.33532E+16,Aripiprazole 1mg/ml oral solution sugar free,Aripiprazole 1mg/ml oral solution sugar free,Aripiprazole,4020100,3.7249E+16
1.35816E+16,Risperidone 250microgram tablets,Risperidone 250microgram tablets,Risperidone,4020100,3.86967E+16
3.03094E+15,Zyprexa 10mg powder for solution for injection vials (Eli Lilly and Company Ltd),Zyprexa 10mg powder for solution for injection vials,Olanzapine,4020100,5.69411E+15
6.45724E+15,Zalasta 7.5mg tablets (Consilient Health Ltd),Zalasta 7.5mg tablets,Olanzapine,NA,1.95881E+16
6.46544E+15,Zalasta 15mg orodispersible tablets (Consilient Health Ltd),Zalasta 15mg orodispersible tablets,Olanzapine,NA,1.96101E+16
6.46554E+15,Zalasta 20mg orodispersible tablets (Consilient Health Ltd),Zalasta 20mg orodispersible tablets,Olanzapine,NA,1.96104E+16
6.51504E+15,Arkolamyl 10mg orodispersible tablets (Mylan),Arkolamyl 10mg orodispersible tablets,Olanzapine,NA,1.989E+16
6.51514E+15,Arkolamyl 15mg orodispersible tablets (Mylan),Arkolamyl 15mg orodispersible tablets,Olanzapine,NA,1.98903E+16
6.51494E+15,Arkolamyl 5mg orodispersible tablets (Mylan),Arkolamyl 5mg orodispersible tablets,Olanzapine,NA,1.98906E+16
6.51524E+15,Arkolamyl 20mg orodispersible tablets (Mylan),Arkolamyl 20mg orodispersible tablets,Olanzapine,NA,1.98909E+16
1.29905E+16,Arpoya 15mg tablets (Torrent Pharma (UK) Ltd),Arpoya 15mg tablets,Aripiprazole,NA,3.68691E+16
1.29906E+16,Arpoya 30mg tablets (Torrent Pharma (UK) Ltd),Arpoya 30mg tablets,Aripiprazole,NA,3.68693E+16
1.31589E+16,Zaponex 12.5mg orodispersible tablets (Leyden Delta B.V.),Zaponex 12.5mg orodispersible tablets,Clozapine,NA,3.76872E+16
1.31591E+16,Zaponex 25mg orodispersible tablets (Leyden Delta B.V.),Zaponex 25mg orodispersible tablets,Clozapine,NA,3.76875E+16
1.31592E+16,Zaponex 50mg orodispersible tablets (Leyden Delta B.V.),Zaponex 50mg orodispersible tablets,Clozapine,NA,3.76878E+16
1.31588E+16,Zaponex 100mg orodispersible tablets (Leyden Delta B.V.),Zaponex 100mg orodispersible tablets,Clozapine,NA,3.76882E+16
1.3159E+16,Zaponex 200mg orodispersible tablets (Leyden Delta B.V.),Zaponex 200mg orodispersible tablets,Clozapine,NA,3.76888E+16
5.57574E+15,olanzapine embonate 210mg powder and solvent for suspension for injection vials,olanzapine embonate 210mg powder and solvent for suspension for injection vials,olanzapine embonate monohydrate,,NA
5.56504E+15,zypadhera 210mg powder and solvent for suspension for injection vials (eli lilly and company ltd),zypadhera 210mg powder and solvent for suspension for injection vials,olanzapine embonate monohydrate,,NA
5.57584E+15,olanzapine embonate 300mg powder and solvent for suspension for injection vials,olanzapine embonate 300mg powder and solvent for suspension for injection vials,olanzapine embonate monohydrate,,NA
5.56514E+15,zypadhera 300mg powder and solvent for suspension for injection vials (eli lilly and company ltd),zypadhera 300mg powder and solvent for suspension for injection vials,olanzapine embonate monohydrate,,NA
5.57594E+15,olanzapine embonate 405mg powder and solvent for suspension for injection vials,olanzapine embonate 405mg powder and solvent for suspension for injection vials,olanzapine embonate monohydrate,,NA
5.56524E+15,zypadhera 405mg powder and solvent for suspension for injection vials (eli lilly and company ltd),zypadhera 405mg powder and solvent for suspension for injection vials,olanzapine embonate monohydrate,,NA
6.35984E+15,xeplion 50mg/0.5ml suspension for injection pre-filled syringes (janssen-cilag ltd),xeplion 50mg/0.5ml suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
6.35994E+15,xeplion 75mg/0.75ml suspension for injection pre-filled syringes (janssen-cilag ltd),xeplion 75mg/0.75ml suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
6.36004E+15,xeplion 100mg/1ml suspension for injection pre-filled syringes (janssen-cilag ltd),xeplion 100mg/1ml suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
6.36014E+15,xeplion 150mg/1.5ml suspension for injection pre-filled syringes (janssen-cilag ltd),xeplion 150mg/1.5ml suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
6.35964E+15,paliperidone 100mg/1ml suspension for injection pre-filled syringes,paliperidone 100mg/1ml suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
6.35974E+15,paliperidone 150mg/1.5ml suspension for injection pre-filled syringes,paliperidone 150mg/1.5ml suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
6.35944E+15,paliperidone 50mg/0.5ml suspension for injection pre-filled syringes,paliperidone 50mg/0.5ml suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
6.35954E+15,paliperidone 75mg/0.75ml suspension for injection pre-filled syringes,paliperidone 75mg/0.75ml suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
9.80924E+15,latuda 18.5mg tablets (sunovion pharmaceuticals europe ltd),latuda 18.5mg tablets,lurasidone hydrochloride,4020100,NA
9.80934E+15,latuda 37mg tablets (sunovion pharmaceuticals europe ltd),latuda 37mg tablets,lurasidone hydrochloride,4020100,NA
9.80944E+15,latuda 74mg tablets (sunovion pharmaceuticals europe ltd),latuda 74mg tablets,lurasidone hydrochloride,4020100,NA
9.80894E+15,lurasidone 18.5mg tablets,lurasidone 18.5mg tablets,lurasidone hydrochloride,4020100,NA
9.80904E+15,lurasidone 37mg tablets,lurasidone 37mg tablets,lurasidone hydrochloride,4020100,NA
9.80914E+15,lurasidone 74mg tablets,lurasidone 74mg tablets,lurasidone hydrochloride,4020100,NA
1.16947E+16,trevicta 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes (janssen-cilag ltd),trevicta 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
1.16948E+16,trevicta 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes (janssen-cilag ltd),trevicta 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
1.16949E+16,trevicta 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes (janssen-cilag ltd),trevicta 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
1.1695E+16,trevicta 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes (janssen-cilag ltd),trevicta 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
1.16943E+16,paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes,paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
1.16944E+16,paliperidone 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes,paliperidone 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
1.16945E+16,paliperidone 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes,paliperidone 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
1.16946E+16,paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes,paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes,paliperidone palmitate,4020200,NA
